knowledge_record_id,knowledge_name,知识库原参考价,知识库原均值,清单不一致行均值,平均覆盖价,涉及清单行数,涉及清单序号,示例商品名
LI-NING-AERONAUT-4000B-风动4000B-AERONAUT4000B,LI-NING AERONAUT 4000B 风动4000B AERONAUT4000B,¥880,880,750,815,1,1137,AirStream N99 AYPL024 Lining 风动导流
LI-NING-BLADEX-900,LI-NING BLADEX 900 SUN MAX,¥1780,1780,1780,1780,1,1069,锋影900MAX月 AYPT027 AYPT025 BLADEX900MAX月 锋影900MAX 锋影900月 Lining 锋影系列
LI-NING-TB-NANO-270-TB270,LI-NING TB NANO 270 TB270,¥380,380,1680,1030,1,998,N9 Lining 超导纳米系列
LI-NING-TB-NANO-N10,LI-NING TB-NANO N10,¥320,320,380,350,1,1008,TB NANO N10 AYPF292 Lining 超导纳米系列
LI-NING-TURBO-CHARGING-N7,LI-NING TURBOCHARGING N7,¥650–¥1680,1165,856,1010,5,982；983；984；985；986,Turbo Charging N7 Ⅱ LIHB；Turbo Charging N7 Ⅱ Light 墨绿 AYPM212 N72 Lining 能量聚合；Turbo Charging N7 Ⅱ 亨德拉 N72 AYPM196；Turbo Charging N7 Ⅱ 幻彩紫 AYPM028 N72 TCN7 Lining 能量聚合；Turbo Charging N7 Ⅱ 能量N72 AYPL202 N72 N7二代 Lining 能量聚合
LI-NING-TURBO-CHARGING-N7-TD,LI-NING TURBOCHARGING N7-TD,¥980,980,650,815,1,981,Turbo Charging N7 TD AYPL014 N7TD Lining 能量聚合
LI-NING-WOODS-N90,LI-NING WOODS N90,¥350–¥2380（按价格清单同型号/不同版本价格范围对齐）,1365,280,822,1,894,Woods N90ⅡS
YONEX-ARCSABER-9BP,YONEX ARCSABER 9BP,¥900,900,1190,1045,2,413；591,ASTROX 99 BP 99BP AX99BP 天斧99BP 天斧系列；ARCSABER FB BP 弓剑FBBP ARCFBBP 弓剑系列
YONEX-ASTROX,YONEX ASTROX,¥350–¥600（按价格清单同型号/不同版本价格范围对齐）,475,1213,844,3,437；438；442,ASTROX NEXTAGE 天斧NEXTAGE AXNEXTAGE 天斧NA AXNT 天斧黑切 黑切 ASTROXNEXTAGE AXNTEX 天斧系列；ASTROX NEXTAGE 银色 天斧NT AXNT AXNEXTAGE 银切 天斧系列；ASTROX SV 藏青色 天斧SV新色 AXSV新色 天斧系列
YONEX-ASTROX-9000S,YONEX ASTROX 9000S,¥1800,1800,850,1325,1,251,NANOSPEED 9000 Type S NS9000S NS系列
YONEX-CAB,YONEX CAB,¥750,750,400,575,1,78,CAB系列
YONEX-NANOFLARE,YONEX NANOFLARE,¥700,700,1230,965,2,663；666,NANOFLARE FL 疾光FL NFFL NANOFLAREFL 疾光系列；NANOFLARE NEXTAGE 疾光NT NF
