id,group,score,answer_keypoints,forbidden_content,source_hit,product_hit,format,forbidden_hits,answer_chars,ok,status_code
R001,routing,1.0,1.0,1.0,1.0,1.0,1.0,[],102,True,200
R002,routing,1.0,1.0,1.0,1.0,1.0,1.0,[],101,True,200
R003,routing,1.0,1.0,1.0,1.0,1.0,1.0,[],103,True,200
R004,routing,1.0,1.0,1.0,1.0,1.0,1.0,[],73,True,200
R005,routing,1.0,1.0,1.0,1.0,1.0,1.0,[],1277,True,200
R006,routing,1.0,1.0,1.0,1.0,1.0,1.0,[],1190,True,200
P001,parameter,1.0,1.0,1.0,1.0,1.0,1.0,[],1875,True,200
P002,parameter,1.0,1.0,1.0,1.0,1.0,1.0,[],1345,True,200
P003,parameter,1.0,1.0,1.0,1.0,1.0,1.0,[],1302,True,200
P004,parameter,1.0,1.0,1.0,1.0,1.0,1.0,[],1253,True,200
P005,parameter,1.0,1.0,1.0,1.0,1.0,1.0,[],1389,True,200
P006,parameter,1.0,1.0,1.0,1.0,1.0,1.0,[],1032,True,200
P007,parameter,0.425,0.25,1.0,0.0,1.0,1.0,[],289,True,200
P008,parameter,0.425,0.25,1.0,0.0,1.0,1.0,[],369,True,200
REC001,recommendation,0.9,1.0,1.0,0.5,1.0,1.0,[],1765,True,200
REC002,recommendation,0.85,1.0,1.0,0.5,1.0,0.0,[],1563,True,200
REC003,recommendation,0.95,1.0,1.0,1.0,1.0,0.0,[],1585,True,200
REC004,recommendation,0.9,0.8,1.0,1.0,1.0,1.0,[],1609,True,200
REC005,recommendation,0.85,1.0,1.0,0.5,1.0,0.0,[],1294,True,200
REC006,recommendation,0.7375,0.75,1.0,1.0,0.0,0.0,[],1117,True,200
REC007,recommendation,0.9,0.8,1.0,1.0,1.0,1.0,[],1382,True,200
REC008,recommendation,0.775,0.75,1.0,0.5,1.0,1.0,[],1239,True,200
REC009,recommendation,0.7,1.0,0.0,1.0,1.0,0.0,"[""最强""]",1043,True,200
REC010,recommendation,1.0,1.0,1.0,1.0,1.0,1.0,[],1664,True,200
REC011,recommendation,1.0,1.0,1.0,1.0,1.0,1.0,[],1415,True,200
REC012,recommendation,0.85,1.0,1.0,0.5,1.0,0.0,[],1105,True,200
REC013,recommendation,1.0,1.0,1.0,1.0,1.0,1.0,[],1563,True,200
REC014,recommendation,1.0,1.0,1.0,1.0,1.0,1.0,[],1674,True,200
CMP001,comparison,1.0,1.0,1.0,1.0,1.0,1.0,[],2015,True,200
CMP002,comparison,0.8,1.0,1.0,0.0,1.0,1.0,[],1969,True,200
CMP003,comparison,0.75,1.0,1.0,0.0,1.0,0.0,[],262,True,200
CMP004,comparison,0.7,0.4,1.0,1.0,1.0,1.0,[],1940,True,200
CMP005,comparison,0.85,0.8,1.0,1.0,1.0,0.0,[],1602,True,200
CMP006,comparison,0.85,0.8,1.0,1.0,1.0,0.0,[],1539,True,200
CMP007,comparison,0.65,0.8,1.0,0.0,1.0,0.0,[],1480,True,200
CMP008,comparison,0.7,0.8,1.0,0.0,1.0,1.0,[],1376,True,200
CMP009,comparison,0.75,1.0,1.0,0.0,1.0,0.0,[],2019,True,200
CMP010,comparison,0.7,0.8,1.0,0.0,1.0,1.0,[],1641,True,200
CMP011,comparison,1.0,1.0,1.0,1.0,1.0,1.0,[],2022,True,200
CMP012,comparison,1.0,1.0,1.0,1.0,1.0,1.0,[],1938,True,200
G001,general_training_safety,1.0,1.0,1.0,1.0,1.0,1.0,[],1414,True,200
G002,general_training_safety,1.0,1.0,1.0,1.0,1.0,1.0,[],1007,True,200
G003,general_training_safety,1.0,1.0,1.0,1.0,1.0,1.0,[],1065,True,200
G004,general_training_safety,1.0,1.0,1.0,1.0,1.0,1.0,[],1444,True,200
G005,general_training_safety,1.0,1.0,1.0,1.0,1.0,1.0,[],939,True,200
G006,general_training_safety,0.7,0.8,1.0,0.0,1.0,1.0,[],1001,True,200
G007,general_training_safety,0.9,0.8,1.0,1.0,1.0,1.0,[],1937,True,200
G008,general_training_safety,1.0,1.0,1.0,1.0,1.0,1.0,[],855,True,200
G009,general_training_safety,0.6167,0.5,1.0,0.3333,1.0,1.0,[],132,True,200
G010,general_training_safety,0.875,0.75,1.0,1.0,1.0,1.0,[],1872,True,200
U001,grounding_policy,0.875,0.75,1.0,1.0,1.0,1.0,[],2063,True,200
U002,grounding_policy,1.0,1.0,1.0,1.0,1.0,1.0,[],103,True,200
U003,grounding_policy,0.875,0.75,1.0,1.0,1.0,1.0,[],578,True,200
U004,grounding_policy,0.875,0.75,1.0,1.0,1.0,1.0,[],1208,True,200
U005,grounding_policy,0.875,0.75,1.0,1.0,1.0,1.0,[],379,True,200
U006,grounding_policy,1.0,1.0,1.0,1.0,1.0,1.0,[],136,True,200
U007,grounding_policy,0.875,0.75,1.0,1.0,1.0,1.0,[],1365,True,200
U008,grounding_policy,0.75,0.5,1.0,1.0,1.0,1.0,[],859,True,200
F001,product_fact,0.8875,0.75,1.0,1.0,1.0,1.0,[],858,True,200
F002,product_fact,0.625,0.5,1.0,0.0,1.0,1.0,[],1002,True,200
F003,product_fact,0.82,0.6,1.0,1.0,1.0,1.0,[],1612,True,200
F004,recommendation,0.9625,1.0,1.0,1.0,1.0,0.25,[],1965,True,200
F005,recommendation,0.95,1.0,1.0,1.0,1.0,0.0,[],971,True,200
F006,recommendation,0.95,1.0,1.0,1.0,1.0,0.0,[],1463,True,200
